                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5346,                 1.9883,                 1.2388,                0.96547,                0.94912,                0.98815,                0.80652,                0.73144,                 1.3257,                0.89467,               0.070265,              0.0033038,              0.0033038
                      1,                 1.1262,                0.86056,                 1.0633,                 0.9468,                0.98125,                0.97974,                0.67873,                0.95222,                0.65797,                0.99115,               0.040134,              0.0065058,              0.0065058
                      2,                 1.0099,                0.73891,                 1.0303,                0.89336,                 0.9218,                0.96188,                0.65688,                 1.1757,                 1.0999,                 1.1557,              0.0098707,              0.0095757,              0.0095757
                      3,                0.98306,                0.70012,                 1.0324,                0.94729,                0.97732,                 0.9852,                0.81764,                 0.6964,                0.59068,                0.89408,               0.009406,               0.009406,               0.009406
                      4,                0.88617,                0.61532,                0.99721,                0.97773,                0.98392,                0.99219,                0.82923,                0.63562,                0.45802,                 0.8727,               0.009406,               0.009406,               0.009406
                      5,                0.84429,                0.57205,                0.98123,                0.95975,                0.98797,                0.98741,                0.81482,                0.67062,                0.47494,                 0.8839,               0.009208,               0.009208,               0.009208
                      6,                0.79647,                0.53563,                0.96382,                0.97769,                0.98564,                0.99381,                0.77658,                0.85309,                0.42346,                0.92591,                0.00901,                0.00901,                0.00901
                      7,                0.76863,                0.51045,                 0.9547,                0.97129,                0.96211,                0.99143,                0.75707,                0.89846,                0.50499,                0.93988,               0.008812,               0.008812,               0.008812
                      8,                0.74093,                0.49321,                0.94502,                0.97701,                0.98429,                0.99347,                0.82276,                0.70869,                0.51891,                0.88639,               0.008614,               0.008614,               0.008614
                      9,                0.73108,                0.48291,                0.94451,                 0.9771,                 0.9607,                0.99218,                0.69169,                 1.0435,                0.48163,                 1.0079,               0.008416,               0.008416,               0.008416
                     10,                0.70461,                0.46736,                0.93179,                0.98436,                0.98515,                0.99369,                0.85756,                0.64227,                0.36761,                0.86526,               0.008218,               0.008218,               0.008218
                     11,                0.69364,                0.45626,                0.92769,                0.98146,                0.99083,                  0.994,                0.87982,                0.51526,                0.34288,                0.84292,                0.00802,                0.00802,                0.00802
                     12,                0.67648,                0.44731,                0.92064,                0.98465,                0.99291,                0.99444,                0.85291,                0.65485,                0.34309,                0.87059,               0.007822,               0.007822,               0.007822
                     13,                0.66464,                 0.4406,                0.91778,                0.97858,                0.97226,                0.99411,                0.82898,                0.67454,                0.35722,                0.87194,               0.007624,               0.007624,               0.007624
                     14,                0.65484,                0.43122,                0.91705,                0.98404,                0.98242,                0.99345,                0.80976,                0.78687,                0.39919,                0.90295,               0.007426,               0.007426,               0.007426
                     15,                0.65154,                0.42916,                 0.9141,                0.98023,                0.98906,                0.99441,                0.82212,                0.74442,                0.34884,                0.88985,               0.007228,               0.007228,               0.007228
                     16,                0.62787,                0.41495,                 0.9077,                0.98696,                0.99178,                 0.9943,                0.85503,                0.58442,                   0.32,                0.84868,                0.00703,                0.00703,                0.00703
                     17,                0.63001,                0.41126,                0.90711,                0.98681,                0.99461,                0.99463,                0.83948,                0.65794,                0.32413,                0.87201,               0.006832,               0.006832,               0.006832
                     18,                0.61601,                0.40479,                0.90308,                0.98733,                0.99074,                0.99469,                0.84545,                 0.6501,                0.31956,                0.86349,               0.006634,               0.006634,               0.006634
